task_idx,dataset_id,objective,edit_budget,seed,method,beta,n_proposals,n_selected,n_labeled,labeled_fraction,functional_hit_rate_labeled,joint_success_rate_labeled,first_functional_rank,mean_edit_distance,mean_prior_function_prob,mean_plm_score
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,1,editguard_diffusion_dplm,1.0,110,50,14,0.28,0.6428571428571429,0.6428571428571429,,1.0,0.5233315732457181,
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,2,editguard_diffusion_dplm,1.0,110,50,13,0.26,0.6153846153846154,0.6153846153846154,,1.0,0.5312860755163828,
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,3,editguard_diffusion_dplm,1.0,104,50,15,0.3,0.8,0.8,,1.0,0.470057276417181,
24,GFP_AEQVI_Sarkisyan_2016,novelty,1,4,editguard_diffusion_dplm,1.0,104,50,7,0.14,0.42857142857142855,0.42857142857142855,,1.0,0.49598250998398624,
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,0,editguard_diffusion_dplm,1.0,108,50,18,0.36,0.8888888888888888,0.8888888888888888,,1.0,0.4376658634906571,
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,1,editguard_diffusion_dplm,1.0,114,50,10,0.2,0.8,0.8,,1.0,0.5360295095934987,
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,2,editguard_diffusion_dplm,1.0,105,50,11,0.22,0.8181818181818182,0.8181818181818182,,1.0,0.46747583887499194,
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,3,editguard_diffusion_dplm,1.0,107,50,13,0.26,0.8461538461538461,0.8461538461538461,,1.0,0.5154432614483603,
25,GFP_AEQVI_Sarkisyan_2016,fragility_aware,1,4,editguard_diffusion_dplm,1.0,114,50,15,0.3,0.7333333333333333,0.7333333333333333,,1.0,0.4764564883698518,
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,0,editguard_diffusion_dplm,1.0,109,50,21,0.42,0.9047619047619048,0.9047619047619048,,1.0,0.5019685893928068,
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,1,editguard_diffusion_dplm,1.0,98,50,18,0.36,0.6111111111111112,0.6111111111111112,,1.0,0.4636083202460953,
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,2,editguard_diffusion_dplm,1.0,106,50,17,0.34,0.7058823529411765,0.7058823529411765,,1.0,0.46871117092491216,
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,3,editguard_diffusion_dplm,1.0,103,50,14,0.28,0.7142857142857143,0.7142857142857143,,1.0,0.49014738512271383,
26,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,1,4,editguard_diffusion_dplm,1.0,98,50,17,0.34,0.7058823529411765,0.7058823529411765,,1.0,0.4014586736320197,
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,0,editguard_diffusion_dplm,1.0,191,50,3,0.06,1.0,1.0,,1.62,0.3299733074154758,
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,1,editguard_diffusion_dplm,1.0,191,50,8,0.16,0.5,0.5,,1.62,0.3229067044019718,
